epoch,accuracy,loss,val_accuracy,val_loss
0,0.3069254159927368,2.3676230907440186,0.23424145579338074,2.7588040828704834
1,0.75,1.6760096549987793,0.23584401607513428,2.752288818359375
2,0.6108242869377136,1.4412744045257568,0.785523533821106,0.8628825545310974
3,0.75,0.8282893896102905,0.7857906222343445,0.8596621751785278
4,0.698771595954895,1.1224673986434937,0.8229166865348816,0.7231950163841248
5,0.75,0.8144357204437256,0.8218482732772827,0.724634051322937
6,0.7420331239700317,0.98448246717453,0.8327991366386414,0.6738589406013489
7,0.625,1.1156738996505737,0.8341346383094788,0.674128532409668
8,0.7680256366729736,0.8899961709976196,0.8405448794364929,0.6207191348075867
9,0.625,1.2695554494857788,0.8402777910232544,0.6207670569419861
10,0.7989140152931213,0.808447539806366,0.8541666865348816,0.5946637392044067
11,0.6875,1.0509389638900757,0.8547008633613586,0.5962442755699158
12,0.8127114176750183,0.7437236309051514,0.8627136945724487,0.5620014667510986
13,0.8125,0.7257171869277954,0.8632478713989258,0.5615953207015991
14,0.8285561800003052,0.6824950575828552,0.8688568472862244,0.5429607033729553
15,0.9375,0.38083121180534363,0.8685897588729858,0.5448940396308899
16,0.840573251247406,0.6456829905509949,0.8712607026100159,0.5392776727676392
17,0.875,0.7037873864173889,0.8712607026100159,0.5387029647827148
18,0.8514331579208374,0.5989397764205933,0.8766025900840759,0.5249754786491394
19,0.8125,0.8885273933410645,0.8768696784973145,0.5263262987136841
20,0.8626490831375122,0.5723122954368591,0.875,0.5143617987632751
21,0.9375,0.524004340171814,0.8739316463470459,0.5146262049674988
22,0.8754673600196838,0.5333046913146973,0.87767094373703,0.5140723586082458
23,0.9375,0.3621427118778229,0.8782051205635071,0.5139282941818237
24,0.8854370713233948,0.5032848119735718,0.8822115659713745,0.4960566461086273
25,0.875,0.6328912377357483,0.8830128312110901,0.4990903437137604
26,0.8883745670318604,0.47543150186538696,0.8795406222343445,0.5070677399635315
27,0.875,0.4474409222602844,0.8790063858032227,0.5078064203262329
28,0.8980772495269775,0.45311635732650757,0.8862179517745972,0.48935413360595703
29,0.9375,0.3272164463996887,0.8880876302719116,0.48694533109664917
